Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-11-01 00:00:00-04:00,219.94634810487003,236.70833242924448,218.6921905772427,236.23056030273438,891588300,0.25,0.0
2024-12-01 00:00:00-05:00,236.4306872176453,259.17993037902727,236.32107572259127,249.53416442871094,977916100,0.0,0.0
2025-01-01 00:00:00-05:00,248.04944675902723,248.21885879426577,218.60398683275523,235.16519165039062,1200176400,0.0,0.0
2025-02-01 00:00:00-05:00,229.17643960307112,249.11565082105585,224.9016065202867,240.98451232910156,862272300,0.25,0.0
2025-03-01 00:00:00-05:00,241.19959932998503,243.43413525971957,207.9110858455405,221.58761596679688,1115239500,0.0,0.0
2025-04-01 00:00:00-04:00,219.27327313828556,224.6401413119672,168.7968355943887,211.9811248779297,1607318600,0.0,0.0
2025-05-01 00:00:00-04:00,208.56947320319304,214.0360879537139,192.77812484948234,200.3595733642578,1195728200,0.26,0.0
2025-06-01 00:00:00-04:00,200.0529525757105,207.15489297707504,194.84886739578616,204.93740844726562,1100409300,0.0,0.0
2025-07-01 00:00:00-04:00,206.435712652381,215.98487279390304,205.90631469100103,207.33470153808594,1079935600,0.0,0.0
2025-08-01 00:00:00-04:00,210.6309536420719,234.85346392847688,201.27158031796307,231.87684631347656,1218079100,0.26,0.0
2025-09-01 00:00:00-04:00,229.25,257.6000061035156,225.9499969482422,254.6300048828125,1265536400,0.0,0.0
2025-10-01 00:00:00-04:00,255.0399932861328,269.8699951171875,244.0,269.0,889657349,0.0,0.0
