Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-04 13:30:00-05:00,242.24000549316406,243.17640686035156,241.92999267578125,243.07000732421875,0,0.0,0.0
2024-12-04 14:30:00-05:00,243.05999755859375,243.125,242.77999877929688,242.98500061035156,2751650,0.0,0.0
2024-12-04 15:30:00-05:00,242.98500061035156,243.5399932861328,242.8260955810547,243.02000427246094,3738537,0.0,0.0
2024-12-05 09:30:00-05:00,244.0500030517578,244.5399932861328,242.71279907226562,242.92999267578125,8289397,0.0,0.0
2024-12-05 10:30:00-05:00,242.92999267578125,243.0800018310547,242.24000549316406,242.5500030517578,3597584,0.0,0.0
2024-12-05 11:30:00-05:00,242.5449981689453,243.40989685058594,242.30999755859375,243.36000061035156,4262442,0.0,0.0
2024-12-05 12:30:00-05:00,243.35830688476562,243.3699951171875,242.61000061035156,242.88499450683594,2973235,0.0,0.0
2024-12-05 13:30:00-05:00,242.88999938964844,243.69000244140625,242.83999633789062,243.27999877929688,2513592,0.0,0.0
2024-12-05 14:30:00-05:00,243.28500366210938,243.36000061035156,242.7449951171875,242.9058074951172,3069471,0.0,0.0
2024-12-05 15:30:00-05:00,242.90499877929688,243.0800018310547,242.1300048828125,243.0800018310547,4497338,0.0,0.0
2024-12-06 09:30:00-05:00,242.8699951171875,244.6300048828125,242.0800018310547,243.44000244140625,7897447,0.0,0.0
2024-12-06 10:30:00-05:00,243.4499969482422,244.10000610351562,243.27499389648438,243.58200073242188,3073497,0.0,0.0
2024-12-06 11:30:00-05:00,243.5800018310547,243.83999633789062,243.2100067138672,243.60000610351562,2643208,0.0,0.0
2024-12-06 12:30:00-05:00,243.58999633789062,243.61500549316406,242.94000244140625,243.26409912109375,2315920,0.0,0.0
2024-12-06 13:30:00-05:00,243.25999450683594,243.63999938964844,243.0399932861328,243.16270446777344,2434412,0.0,0.0
2024-12-06 14:30:00-05:00,243.16000366210938,243.39999389648438,242.87010192871094,243.0500030517578,3531491,0.0,0.0
2024-12-06 15:30:00-05:00,243.0500030517578,243.14999389648438,242.1999969482422,242.86000061035156,4585506,0.0,0.0
2024-12-09 09:30:00-05:00,242.39999389648438,244.72000122070312,242.39999389648438,244.50999450683594,6763286,0.0,0.0
2024-12-09 10:30:00-05:00,244.47999572753906,247.23880004882812,244.4199981689453,246.47000122070312,7885176,0.0,0.0
2024-12-09 11:30:00-05:00,246.48500061035156,247.24000549316406,246.30999755859375,246.79029846191406,3738978,0.0,0.0
2024-12-09 12:30:00-05:00,246.8249969482422,247.01510620117188,245.7100067138672,246.9053955078125,3215218,0.0,0.0
2024-12-09 13:30:00-05:00,246.88999938964844,246.88999938964844,246.05999755859375,246.09500122070312,2110393,0.0,0.0
2024-12-09 14:30:00-05:00,246.09500122070312,246.77999877929688,245.89999389648438,246.75999450683594,2636199,0.0,0.0
2024-12-09 15:30:00-05:00,246.77999877929688,247.08999633789062,246.11000061035156,246.80999755859375,5245539,0.0,0.0
2024-12-10 09:30:00-05:00,246.9499969482422,247.78709411621094,245.80999755859375,246.72999572753906,7969297,0.0,0.0
2024-12-10 10:30:00-05:00,246.73500061035156,246.9199981689453,245.3419952392578,245.6699981689453,3845062,0.0,0.0
2024-12-10 11:30:00-05:00,245.6699981689453,247.17999267578125,245.61000061035156,247.07000732421875,2669027,0.0,0.0
2024-12-10 12:30:00-05:00,247.05999755859375,247.4783935546875,246.72000122070312,247.40660095214844,2160359,0.0,0.0
2024-12-10 13:30:00-05:00,247.40499877929688,247.8000030517578,247.35000610351562,247.42999267578125,2326302,0.0,0.0
2024-12-10 14:30:00-05:00,247.42999267578125,248.2100067138672,247.41000366210938,247.72000122070312,4138454,0.0,0.0
2024-12-10 15:30:00-05:00,247.72500610351562,248.07000732421875,247.3699951171875,247.8000030517578,3607802,0.0,0.0
2024-12-11 09:30:00-05:00,247.94500732421875,249.99000549316406,247.64999389648438,249.42999267578125,8367368,0.0,0.0
2024-12-11 10:30:00-05:00,249.42999267578125,250.8000030517578,249.39500427246094,250.44000244140625,6584107,0.0,0.0
2024-12-11 11:30:00-05:00,250.4199981689453,250.4199981689453,249.33999633789062,249.681396484375,2792683,0.0,0.0
2024-12-11 12:30:00-05:00,249.67999267578125,249.77999877929688,248.97000122070312,249.10000610351562,2034409,0.0,0.0
2024-12-11 13:30:00-05:00,249.08999633789062,249.1649932861328,248.0863037109375,248.27999877929688,2859618,0.0,0.0
2024-12-11 14:30:00-05:00,248.2801055908203,248.44000244140625,247.0500030517578,247.14999389648438,3703277,0.0,0.0
2024-12-11 15:30:00-05:00,247.13999938964844,247.16000366210938,246.26010131835938,246.42999267578125,5247010,0.0,0.0
2024-12-12 09:30:00-05:00,246.94500732421875,248.1199951171875,245.67999267578125,247.99000549316406,7733107,0.0,0.0
2024-12-12 10:30:00-05:00,247.99000549316406,248.59959411621094,247.66000366210938,248.4709930419922,4798038,0.0,0.0
2024-12-12 11:30:00-05:00,248.47999572753906,248.54989624023438,247.99000549316406,248.09280395507812,2067122,0.0,0.0
2024-12-12 12:30:00-05:00,248.08999633789062,248.74000549316406,247.63999938964844,248.52999877929688,2027236,0.0,0.0
2024-12-12 13:30:00-05:00,248.52000427246094,248.74000549316406,248.0,248.02000427246094,1974147,0.0,0.0
2024-12-12 14:30:00-05:00,248.01499938964844,248.2100067138672,247.4499969482422,247.75,1927714,0.0,0.0
2024-12-12 15:30:00-05:00,247.75999450683594,248.1999969482422,247.74000549316406,247.9499969482422,2674221,0.0,0.0
